Year,Age,Sex,LenIN,WtLBS,lenMM,WeightGM
1945,42,M,23.4,5.7,594,2591
1947,42,M,23.4,5.8,594,2636
1948,42,M,23.3,5.8,592,2636
1949,42,M,23.8,5.9,605,2682
1950,42,M,23.6,5.9,599,2682
1951,42,M,24,6,610,2727
1952,42,M,23.9,6,607,2727
1953,42,M,23.9,6.2,607,2818
1954,42,M,24.1,6.4,612,2909
1955,42,M,23.1,5.6,587,2545
1956,42,M,23.5,5.8,597,2636
1945,42,F,22.8,5.3,579,2409
1947,42,F,22.9,5.3,582,2409
1948,42,F,22.6,5.3,574,2409
1949,42,F,22.8,5.1,579,2318
1950,42,F,23.1,5.2,587,2364
1951,42,F,23.1,5.2,587,2364
1952,42,F,23.1,5.2,587,2364
1953,42,F,22.9,5.4,582,2455
1954,42,F,23.1,5.5,587,2500
1955,42,F,22.3,4.9,566,2227
1956,42,F,22.8,5,579,2273
1945,52,M,25,7,635,3182
1947,52,M,25.9,7.7,658,3500
1948,52,M,26.2,8.1,665,3682
1949,52,M,26.2,7.9,665,3591
1950,52,M,26,7.9,660,3591
1951,52,M,26.2,7.9,665,3591
1952,52,M,26.8,8.4,681,3818
1953,52,M,26.9,8.3,683,3773
1954,52,M,26.5,8.8,673,4000
1955,52,M,26,7.8,660,3545
1956,52,M,25.6,7.5,650,3409
1945,52,F,24.4,6.4,620,2909
1947,52,F,24.1,6.2,612,2818
1948,52,F,25.3,7.1,643,3227
1949,52,F,23.8,5.8,605,2636
1950,52,F,24.7,6.6,627,3000
1951,52,F,24.8,6.6,630,3000
1952,52,F,25.3,6.9,643,3136
1953,52,F,25.6,7.2,650,3273
1954,52,F,25.3,7.4,643,3364
1955,52,F,24.7,6.8,627,3091
1956,52,F,24.4,6.4,620,2909
1945,53,M,24.7,6.5,627,2955
1947,53,M,24.5,6.3,622,2864
1948,53,M,25,7,635,3182
1949,53,M,24.7,6.5,627,2955
1950,53,M,24.5,6.4,622,2909
1951,53,M,25.1,6.7,638,3045
1952,53,M,24.8,6.7,630,3045
1953,53,M,24.9,6.6,632,3000
1954,53,M,25.3,7.4,643,3364
1955,53,M,24.1,6.1,612,2773
1956,53,M,24.3,6.4,617,2909
1945,53,F,24,5.9,610,2682
1947,53,F,23.6,5.6,599,2545
1948,53,F,24.1,6,612,2727
1949,53,F,23.7,5.4,602,2455
1950,53,F,23.7,5.5,602,2500
1951,53,F,24.1,5.7,612,2591
1952,53,F,23.9,5.7,607,2591
1953,53,F,24.1,5.8,612,2636
1954,53,F,24.5,6.3,622,2864
1955,53,F,23.2,5.4,589,2455
1956,53,F,23.6,5.7,599,2591
1945,63,M,25.1,7.2,638,3273
1947,63,M,27,8.1,686,3682
1948,63,M,27.7,9.1,704,4136
1949,63,M,26.1,7.7,663,3500
1950,63,M,26.7,8.2,678,3727
1951,63,M,27.4,8.8,696,4000
1952,63,M,27.6,8.7,701,3955
1953,63,M,27.7,9,704,4091
1954,63,M,27.7,9.5,704,4318
1955,63,M,26.9,8.3,683,3773
1956,63,M,26.4,8.1,671,3682
1945,63,F,25.5,7.1,648,3227
1947,63,F,25.6,6.9,650,3136
1948,63,F,26.7,7.9,678,3591
1949,63,F,25.5,6.8,648,3091
1950,63,F,25.6,7.1,650,3227
1951,63,F,26.4,7.6,671,3455
1952,63,F,26.3,7.5,668,3409
1953,63,F,26.5,7.9,673,3591
1954,63,F,26,7.8,660,3545
1955,63,F,25.1,6.9,638,3136
1956,63,F,25.4,7,645,3182
