return_year,pink,chum,sockeye,total
1925,149,59,51,260
1926,363,67,83,513
1927,127,56,55,238
1928,338,75,76,489
1929,154,77,64,295
1930,311,78,54,443
1931,203,79,60,341
1932,282,73,66,421
1933,193,63,78,335
1934,363,89,83,536
1935,371,84,44,498
1936,290,127,85,502
1937,361,97,82,540
1938,331,108,94,533
1939,436,93,68,597
1940,256,97,47,400
1941,439,89,51,579
1942,318,79,54,450
1943,416,70,64,550
1944,237,60,49,346
1945,177,55,42,274
1946,136,62,47,244
1947,223,61,56,340
1948,124,62,45,230
1949,296,59,35,390
1950,101,70,41,212
1951,252,76,33,361
1952,198,53,44,295
1953,337,52,38,426
1954,180,72,42,294
1955,294,77,36,408
1956,261,84,53,397
1957,362,65,50,477
1958,187,71,50,308
1959,240,65,45,350
1960,125,67,71,263
1961,182,56,57,295
1962,163,60,43,265
1963,224,57,37,318
1964,146,62,37,246
1965,205,54,85,345
1966,161,66,49,276
1967,175,53,44,273
1968,172,53,45,270
1969,221,38,47,306
1970,132,62,74,268
1971,203,57,65,325
1972,126,67,31,225
1973,159,64,35,258
1974,134,63,41,238
1975,228,65,46,339
1976,199,68,38,305
1977,279,60,42,381
1978,234,62,54,350
1979,320,64,73,457
1980,244,71,93,408
1981,298,80,76,453
1982,223,78,72,373
1983,431,80,86,597
1984,309,92,79,480
1985,326,107,91,524
1986,262,108,73,443
1987,270,93,74,438
1988,212,112,61,385
1989,364,99,94,558
1990,303,114,106,523
1991,486,105,98,689
1992,277,92,103,472
1993,399,123,129,650
1994,454,137,107,699
1995,435,146,109,691
1996,424,162,91,677
1997,402,133,75,610
1998,444,134,58,636
1999,501,115,83,699
2000,382,114,72,568
2001,402,134,66,601
2002,383,121,71,574
2003,466,136,74,675
2004,361,143,90,594
2005,594,131,87,813
2006,344,144,89,577
2007,549,131,85,764
2008,328,118,75,521
2009,657,145,75,878
2010,407,132,105,644
2011,654,124,83,860
2012,436,136,79,650
2013,578,147,74,798
2014,356,144,106,606
2015,549,157,109,816
2016,335,110,24,469
2017,287,74,21,382
2018,614,98,23,735
2019,435,74,24,533
2020,205,68,17,290
